,Project Type,Reference Number,Project Name,Agency,Published Date,Procurement Category,Closed Date,Current Status,Qualification Criteria,Respondents,Awarded To,Awarded Value
0,Quotation,DEFEPS3000035854,SUPPLY AND DELIVERY OF CONSTRUCTION TRAINING MATERIALS,Ministry of Defence 3,10 Sep 2019 12:00AM,Construction ⇒ General Building & Minor Construction Works,18 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
1,Quotation,SPO000ETQ19300324,RO19/ED/0127 Minor renovation works to EEE power & autonomous electric vehicle hub at T12 level 1,Singapore Polytechnic,06 Sep 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,16 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
2,Quotation,MOESCHETQ19304257,"CONCEPTUALISATION, DESIGN AND INSTALLATION OF DESIGN WORKS FOR ART LEARNING SPACE, GEYLANG METHODIST SCHOOL (PRIMARY)",Ministry of Education - Schools,06 Sep 2019 03:50PM,Construction ⇒ Renovation Supplies & Services,19 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
3,Quotation,MPA000ETQ19300073 / INC1901073,Accredited Checker For Emergency Landing Facility At Marina Bay Cruise Centre,Maritime and Port Authority of Singapore,06 Sep 2019 12:20PM,Construction ⇒ Others,10 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
4,Quotation,SDC000ETQ19300063 / SCRM/CP/2019/01,"INVITATION TO QUOTE FOR PROPOSED DESIGN, DELIVERY, SUPPLY AND INSTALLATION MEMBRANE CORRECTIVE WORKS TO POND D AT SENTOSA COVE",Sentosa Development Corporation,05 Sep 2019 08:20PM,Construction ⇒ General Building & Minor Construction Works,19 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
5,Quotation,NLB000ETQ19300072,"Invitation to Quote for Supply and Replacement of Motors and Pumps at the public libraries of the National Library Board, Singapore",National Library Board,05 Sep 2019 11:35AM,Construction ⇒ Renovation Supplies & Services,16 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
6,Quotation,ITE000ETQ19300235,Q19a-00181_DPJ: Renovation Works with Provision of AV System for iConnect Room at ITE Headquarters,Institute of Technical Education,04 Sep 2019 06:50PM,Construction ⇒ Renovation Supplies & Services,16 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
7,Quotation,HDB000ETQ19300247 / PLG-QN190038,"Repainting works to Blk 762 and 762A (MSCP) Jurong West Street 75 Singapore 640762, Gek Poh Shopping Centre",Housing and Development Board,04 Sep 2019 12:35PM,Construction ⇒ Others,17 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
8,Quotation,MOESCHETQ19304184,"Design, supply and install wall murals within Boon Lay Secondary School for corporate branding",Ministry of Education - Schools,03 Sep 2019 05:05PM,Construction ⇒ Renovation Supplies & Services,18 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
9,Quotation,TPO000ETQ19300222 / ASC3/19/0015/LP,"Rendering of Raw Material, Concrete Casting and Testing Services",Temasek Polytechnic,03 Sep 2019 03:50PM,Construction ⇒ Concrete Products & Repairs,16 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
10,Quotation,MOESCHETQ19304129,Supply of Carpet for Wushu Training as required by Pei Hwa Secondary School,Ministry of Education - Schools,03 Sep 2019 12:50PM,Construction ⇒ Renovation Supplies & Services,12 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
11,Request for Information,PAS000ERF19300008,"Print, Supply and Install Stickers and Signages at PA Entities",People's Association,02 Sep 2019 03:20PM,Construction ⇒ Signages,13 Sep 2019 04:00PM,CLOSED,Not Applicable,,Not Applicable,Not Applicable
12,Quotation,MOESCHETQ19304127,To Repair / refurbish / renovate Guest's Apartment @ Dunman High School Hostel,Ministry of Education - Schools,30 Aug 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,19 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
13,Quotation,SFA000ETQ19400032 / SFA000ETQ19400032,Minor renovation works to office,Singapore Food Agency,30 Aug 2019 01:20PM,Construction ⇒ Renovation Supplies & Services,19 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
14,Tender,PAS000ETT19300152 / PA-ITT-2019-0132,"Proposed Cyclical Maintenance Programme to Rivervale Gardens, Rivervale Spring and Rivervale Vista RC",People's Association,30 Aug 2019 10:50AM,Construction ⇒ General Building & Minor Construction Works,17 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
15,Quotation,MOESCHETQ19304087,ITQ for Renovation of School Library,Ministry of Education - Schools,30 Aug 2019 08:50AM,Construction ⇒ Renovation Supplies & Services,12 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
16,Quotation,HLTHQ0ETQ19300062 / MOH ITQ B18/19,"Invitation to Quote for Soil Investigation Works for the Proposed Development of a Polyclinic at Yishun Ave 2/Yishun Ring Road, Singapore",Ministry of Health-Ministry Headquarter,30 Aug 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,12 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
17,Quotation,MOESCHETQ19304075,REDESIGN AND RENOVATE INCLUSIVE OF FURNISHING TO EXISTING LIBRARY SPACES FOR GONGSHANG PRIMARY SCHOOL,Ministry of Education - Schools,29 Aug 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,06 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
18,Tender,JTC000ETT19300122 / JTC19T0083,"Sewerage Flow Gauging, Monitoring and Analysis Works for JTC Estates",Jurong Town Corporation,29 Aug 2019 02:50PM,Construction ⇒ Civil Engineering,11 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
19,Quotation,MOESCHETQ19304060,"Quotation To Design, Supply, Installation And Commissioning of Heritage Wall Project",Ministry of Education - Schools,28 Aug 2019 05:35PM,Construction ⇒ Interior Decoration,16 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
20,Quotation,PUB000ETQ19300249 / 44190302,44190302/C&W/SOIL INVESTIGATION FOR THE IMPROVEMENT TO MARINA EAST OUTLET DRAIN,Public Utilities Board,28 Aug 2019 02:20PM,Construction ⇒ Civil Engineering,10 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
21,Quotation,ITE000ETQ19300225,Q19a-00130_EPC/SDV_Fitting Out Works for One-Stop Student Services Centre and CGS Staff Offices At ITE College East @ Simei,Institute of Technical Education,27 Aug 2019 05:35PM,Construction ⇒ General Building & Minor Construction Works,06 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
22,Quotation,RGS000ETQ19300039 / PR1900000644,Provision of Furniture for Staff Lounge in New Campus,Raffles Girls' School (Secondary),27 Aug 2019 03:05PM,Construction ⇒ Renovation Supplies & Services,04 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
23,Quotation,MOESCHETQ19303971,Construction of an Art Gallery in Punggol Primary School,Ministry of Education - Schools,26 Aug 2019 01:05PM,Construction ⇒ Renovation Supplies & Services,04 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
24,Quotation,MOESCHETQ19303945,Repair of Swimming Pool Pointers and Tile Grouting Works at Anglo-Chinese School (Barker Road) Campus,Ministry of Education - Schools,26 Aug 2019 11:05AM,Construction ⇒ Repairs & Redecoration,03 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
25,Tender,NATHQ0ETT19300005 / ND/18/2019/T,Construction of Barrier Free Access (BFA) Ramp at Ministry of National Development (MND) Complex Basement Carpark,Ministry of National Development-Ministry Headquarter,26 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,19 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
26,Tender,PAS000ETT19300149 / PA-ITT-2019-0126,PROPOSED INTERIOR FITTING OUT WORKS TO RESIDENTS' COMMITTEE CENTRES,People's Association,26 Aug 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,11 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
27,Quotation,TPO000ETQ19300221 / EFM5/19/0037/SH,EFM5/19/0037/SH- Invitation To Quote (ITQ) for The Supply and Installation of Bollards Including Necessary Civil Works at Temasek Polytechnic,Temasek Polytechnic,26 Aug 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,12 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
28,Tender,SFA000ETT19400029 / SFA000/(P)023(19),Tender for The Replacement of Refrigeration Systems (Low Temperature & Cold Rooms) At Marine Aquaculture Centre,Singapore Food Agency,23 Aug 2019 09:50PM,Construction ⇒ Repairs & Redecoration,18 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
29,Qualification,LTA000EPQ19300015 / 2PQ-CRL CR105,Tender cum Pre-Qualification for Cross Island Phase 1 (CRL1) Civil Contract CR105,Land Transport Authority,23 Aug 2019 05:20PM,Construction ⇒ Civil Engineering,17 Sep 2019 04:00PM,CLOSED,"Pre-qualification(PQ) for Civil Contract was advertised in GeBIZ on 29/3/19 & all applicants have been informed of their applications.Tender Docs will ONLY be issued to pre-qualified tenderers on 23/8/19 for Civil Contract CR105.Those who wish to be considered for 2nd(final) PQ for Civil Contract CR105 will need to submit their PQ applications electronically via GeBIZ as detailed in PQ brochure.Interested applicants are req'd to submit previous & current records of similar work done, details of key staff with relevant experience in design &/or construction, eqpmt to be deployed, safety records & financial capacity for LTA's consideration.Where top-down construction is req'd, applicants shall demonstrate prior experience of this method in similar pjts.Applicants shall demonstrate that they have necessary:(a)Technical expertise, pjt mgmt capability & physical resources in design & construction of similar works;&(b)Financial capacity to undertake & sustain a multi-million dollar pjt in SG",,Not Applicable,Not Applicable
30,Tender,NPB000ETT19300080 / NParks/N/49/2019,TERM CONTRACT FOR SLOPE STABILIZATION WORKS IN NPARKS FOR A PERIOD OF 3 YEARS,National Parks Board,23 Aug 2019 03:05PM,Construction ⇒ General Building & Minor Construction Works,16 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
31,Tender,PUB000ETT19300189 / PUB000/WRN/33190193,Proposed Sewers in Pasir Ris Drive 3/12 and Jalan Kembangan Areas and Demolition of East Coast Parkway Pump Sump,Public Utilities Board,23 Aug 2019 02:35PM,Construction ⇒ Civil Engineering,19 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
32,Quotation,MOESCHETQ19303950 / MOESCHEAR19332285,"Conceptualisation, Design, Fabrication and Installation of Fixtures for Makerspace",Ministry of Education - Schools,23 Aug 2019 12:50PM,Construction ⇒ Renovation Supplies & Services,12 Sep 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
